x,y,z,3,4,5
0,0.67026,4.90348,-11.378,0,0
-1.595,0,5.00924,0,0,0
-2.5889,0,4.79772,0,0,0
-3.398,0,5.2736,0,0,0
-4.1146,0.35241,5.32648,0,0,0
-3.9297,0.44223,5.16784,0,0,0
-3.19,0.37314,5.538,0,0,0
-3.005,0,4.74484,0,0,0
-2.8432,0.31785,4.74484,0,0,0
-2.4271,0.55971,4.63912,0,0,0
-2.2653,0.56661,4.63912,0,0,0
-2.2884,0.59424,4.63912,0,0,0
-2.1266,0.71862,4.692,0,0,0
-2.2884,0.52515,4.63912,0,0,0
-2.5196,0.33168,4.63912,0,0,0
-2.9819,0,4.63912,0,0,0
-2.7508,0,4.48048,0,0,0
