x,y,z,3,4,5
0,0.77391,5.37936,0,-11.986,0
0,0.4284,5.00924,0,-10.128,0
0,0,4.79772,0,0,0
0,0,4.53336,0,0,0
0,0.64263,4.58624,0,0,0
0,0.35931,4.37472,0,0,0
0,0,4.16324,0,0,0
0,0,4.269,0,0,0
0,0,4.21612,0,0,0
0,0,4.32184,0,0,0
0,0,4.37472,0,0,0
0,0,4.58624,0,0,0
0,0,4.692,0,0,0
0,0,4.692,0,-10.685,0
0,0,4.74484,0,-12.079,0
0,0,4.58624,0,-12.358,0
0,0,4.58624,0,-10.964,0
0,0,4.58624,0,-10.499,0
0,0,4.53336,0,0,0
0,0,4.53336,10.745,0,0
0,0,4.37472,0,0,0
0,0,4.4276,0,0,0
0,0,4.37472,0,0,0
0,0,4.4276,0,0,0
0,0,4.53336,0,0,0
0,0,4.63912,0,0,0
0,0,4.8506,0,-11.057,0
0,0,4.8506,0,-11.15,0
0,0,4.90348,0,-11.986,0
0,0,5.00924,0,-11.893,0
0,0,4.95636,0,-14.309,0
0,0,5.06212,0,-15.703,0
0,0,5.06212,0,-14.774,0
0,0,5.06212,0,-13.008,0
0,0.31095,5.06212,-14.448,-10.221,0
0,0,4.90348,0,-12.451,0
0,0,5.06212,0,-10.778,0
0,0,5.37936,-14.448,0,0
0,0,5.2736,-12.1,0,0
1.595,-1.13322,5.22072,0,0,0
2.4965,-1.55475,5.64372,0,0,0
