x,y,z
-164.6810011,-82.55271142,2.710686813
-159.9351328,-57.22943055,2.757227669
-158.3581777,-43.39454065,2.805086964
-157.8050146,-31.42641722,2.910500275
-157.6968419,-18.99550118,3.081984874
-157.7872395,0.303903502,3.375203914
-159.003851,18.96865938,3.663985676
-159.2114639,43.14280266,4.117102975
-159.2321243,57.327122,4.469298325
-159.2366083,68.53103218,4.774251316
-159.2379592,80.29471584,5.076868782
-159.2384562,98.78787502,5.618488686
-159.2385291,115.23638,6.206736555
-159.2385393,117.0833873,6.678794942
-159.2385411,105.1952181,7.021061802
-159.2385415,87.58689734,7.361081182
-159.2385416,67.2405063,7.752821622
-159.2385417,55.02302289,8.095408049
-159.2385417,46.88544466,8.297709894
-159.2385417,25.84728669,8.763645774
-159.2385417,8.547669166,9.131985667
-159.2385417,-8.222762921,9.35957811
-159.2385417,-28.56820803,9.513661562
-159.2385417,-48.49807162,9.667145744
-159.2385417,-60.36551089,9.751188792
-159.2385417,-70.00560162,9.814054979
-159.2385417,-85.58124496,9.856592324
-159.2385417,-94.73642111,9.880573598
-159.2385417,-82.92741629,9.894379597
-159.2385417,-58.98052345,9.920874913
-159.2385417,-39.35707414,9.95571837
-159.2385417,-24.59879431,10.04555653
-159.2385417,-9.706161921,10.13662715
-159.2385417,11.04071223,10.26505291
-159.2385417,24.06516818,10.35855629
-159.2385417,43.54433786,10.47849644
-159.2385417,57.90213697,10.57706185
-159.2385417,73.29867142,10.65492339
-159.2385417,87.99585122,10.72884835
-159.2385417,103.0694045,10.80324902
-159.2385417,122.0331373,10.88070531
-159.2385417,121.0304424,10.91917625
-159.2385417,90.8289704,10.96970576
-159.2385417,70.81259764,11.01230339
-159.2385417,47.59750439,11.10532903
-159.2385417,34.29345793,11.21042309
-159.2385417,21.54699825,11.32498622
-159.2385417,7.214542163,11.44932054
-159.2385417,-7.334885704,11.58212134
-159.2385417,-32.96523591,11.8505811
-159.2385417,-50.42985567,12.03382109
-159.2385417,-69.43311839,12.22368118
-159.2385417,-86.31127679,12.41081082
-159.2385417,-96.56241862,12.66018642
-159.2385417,-82.02859675,12.84746477
-159.2385417,-58.09520216,13.02795114
-159.2385417,-36.97159136,13.21277353
-159.2385417,-23.68926236,13.38557377
-159.2385417,-5.951184848,13.628081
-158.8801722,8.996810714,13.88758069
-151.4310228,21.86515457,14.30912278
